Time,Unsubtracted Weight,Baseline Weight,Program Temperature,Sample Temperature,Approx. Gas Flow,R25 Diagnostic Signal, 
1.216667,6.113901,0.000000,50.000000,52.530000,40.200000,0.000000, 
1.233333,6.113901,0.000000,50.000000,52.540000,40.200000,0.000000, 
1.250000,6.113460,0.000000,50.000000,52.540000,40.200000,0.000000, 
1.266667,6.113239,0.000000,50.000000,52.540000,40.200000,0.000000, 
1.283333,6.113239,0.000000,50.000000,52.540000,40.200000,0.000000, 
1.300000,6.113018,0.000000,50.000000,52.540000,40.200000,0.000000, 
1.316667,6.113018,0.000000,50.000000,52.550000,40.200000,0.000000, 
1.333333,6.112797,0.000000,50.000000,52.550000,40.200000,0.000000, 
1.350000,6.112576,0.000000,50.000000,52.550000,40.200000,0.000000, 
1.366667,6.112355,0.000000,50.000000,52.550000,40.200000,0.000000, 
1.383333,6.112134,0.000000,50.000000,52.550000,40.200000,0.000000, 
1.400000,6.111913,0.000000,50.000000,52.560000,40.200000,0.000000, 
1.416667,6.111913,0.000000,50.000000,52.560000,40.200000,0.000000, 
1.433333,6.111692,0.000000,50.000000,52.560000,40.200000,0.000000, 
1.450000,6.111471,0.000000,50.000000,52.560000,40.200000,0.000000, 
1.466667,6.111250,0.000000,50.000000,52.560000,40.200000,0.000000, 
1.483333,6.111029,0.000000,50.000000,52.560000,40.200000,0.000000, 
1.500000,6.111029,0.000000,50.000000,52.570000,40.200000,0.000000, 
1.516667,6.110808,0.000000,50.000000,52.570000,40.200000,0.000000, 
1.533333,6.110587,0.000000,50.000000,52.570000,40.200000,0.000000, 
1.550000,6.110587,0.000000,50.000000,52.570000,40.200000,0.000000, 
1.566667,6.110367,0.000000,50.000000,52.570000,40.200000,0.000000, 
1.583333,6.110146,0.000000,50.000000,52.570000,40.200000,0.000000, 
1.600000,6.110146,0.000000,50.000000,52.580000,40.200000,0.000000, 
1.616667,6.109925,0.000000,50.000000,52.580000,40.200000,0.000000, 
1.633333,6.109925,0.000000,50.000000,52.580000,40.200000,0.000000, 
1.650000,6.109925,0.000000,50.000000,52.580000,40.300000,0.000000, 
1.666667,6.109704,0.000000,50.000000,52.580000,40.300000,0.000000, 
1.683333,6.109483,0.000000,50.000000,52.580000,40.200000,0.000000, 
1.700000,6.109262,0.000000,50.000000,52.590000,40.200000,0.000000, 
1.716667,6.109041,0.000000,50.000000,52.590000,40.300000,0.000000, 
1.733333,6.108820,0.000000,50.000000,52.590000,40.300000,0.000000, 
1.750000,6.108599,0.000000,50.000000,52.590000,40.200000,0.000000, 
1.766667,6.108157,0.000000,50.000000,52.590000,40.200000,0.000000, 
1.783333,6.107936,0.000000,50.000000,52.590000,40.200000,0.000000, 
1.800000,6.107715,0.000000,50.000000,52.600000,40.200000,0.000000, 
1.816667,6.107494,0.000000,50.000000,52.600000,40.200000,0.000000, 
1.833333,6.107273,0.000000,50.000000,52.600000,40.200000,0.000000, 
1.850000,6.107053,0.000000,50.000000,52.600000,40.200000,0.000000, 
1.866667,6.106832,0.000000,50.000000,52.600000,40.200000,0.000000, 
1.883333,6.106611,0.000000,50.000000,52.600000,40.200000,0.000000, 
1.900000,6.106611,0.000000,50.000000,52.610000,40.200000,0.000000, 
1.916667,6.106390,0.000000,50.000000,52.610000,40.200000,0.000000, 
1.933333,6.106169,0.000000,50.000000,52.610000,40.200000,0.000000, 
1.950000,6.105948,0.000000,50.000000,52.610000,40.200000,0.000000, 
1.966667,6.105727,0.000000,50.000000,52.610000,40.200000,0.000000, 
1.983333,6.105727,0.000000,50.000000,52.610000,40.200000,0.000000, 
2.000000,6.105285,0.000000,50.000000,52.610000,40.200000,0.000000, 
2.016667,6.105285,0.000000,50.000000,52.620000,40.200000,0.000000, 
2.033333,6.105064,0.000000,50.000000,52.620000,40.200000,0.000000, 
2.050000,6.104843,0.000000,50.000000,52.620000,40.200000,0.000000, 
2.066667,6.104622,0.000000,50.000000,52.620000,40.200000,0.000000, 
2.083333,6.104622,0.000000,50.000000,52.620000,40.100000,0.000000, 
2.100000,6.104622,0.000000,50.000000,52.620000,40.100000,0.000000, 
2.116667,6.104622,0.000000,50.000000,52.620000,40.200000,0.000000, 
2.133333,6.104401,0.000000,50.000000,52.620000,40.200000,0.000000, 
2.150000,6.104401,0.000000,50.000000,52.630000,40.200000,0.000000, 
2.166667,6.104401,0.000000,50.000000,52.630000,40.200000,0.000000, 
2.183333,6.104401,0.000000,50.000000,52.630000,40.200000,0.000000, 
2.200000,6.104180,0.000000,50.000000,52.630000,40.200000,0.000000, 
2.216667,6.104180,0.000000,50.000000,52.630000,40.200000,0.000000, 
2.233333,6.104180,0.000000,50.000000,52.630000,40.200000,0.000000, 
2.250000,6.104180,0.000000,50.000000,52.630000,40.200000,0.000000, 
2.266667,6.104180,0.000000,50.000000,52.630000,40.200000,0.000000, 
2.283333,6.103959,0.000000,50.000000,52.630000,40.200000,0.000000, 
2.300000,6.103518,0.000000,50.000000,52.640000,40.200000,0.000000, 
2.316667,6.103297,0.000000,50.000000,52.640000,40.200000,0.000000, 
2.333333,6.103076,0.000000,50.000000,52.640000,40.200000,0.000000, 
2.350000,6.102855,0.000000,50.000000,52.640000,40.200000,0.000000, 
2.366667,6.102634,0.000000,50.000000,52.640000,40.200000,0.000000, 
2.383333,6.102413,0.000000,50.000000,52.640000,40.100000,0.000000, 
2.400000,6.102192,0.000000,50.000000,52.640000,40.100000,0.000000, 
2.416667,6.101750,0.000000,50.000000,52.640000,40.200000,0.000000, 
2.433333,6.101529,0.000000,50.000000,52.640000,40.200000,0.000000, 
2.450000,6.101308,0.000000,50.000000,52.640000,40.200000,0.000000, 
2.466667,6.101308,0.000000,50.000000,52.650000,40.200000,0.000000, 
